SupplierId,supplierName,whilteLabelId,dataAvailable,supplierRank,overallRating,complaintsRating,complaintsNumber,billsRating,billsAccuracy %,contactRating,contactTime,contactEmail%,contactSocialMedia,switchRating,switchPercent,guaranteeRating,guaranteesList,contactInformation,billingInformation,openingHours,fuelMix
16,EDF Energy,0,TRUE,1,3.65,2,36.1,5,98.6,3.8,02:52,98.9,N/A,5,99.7,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0333 200 5100,
Email: customer_correspondence@edfenergy.com,
Website: www.edfenergy.com,
Web Chat: Yes,
Ring backs: No,
Minicom / Text: 0800 0962929,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 8am - 2pm,
Sunday: Closed,","Fossil fuel: 13%,
Nuclear: 67%,
Renewable: 20%,
Other: 0%,"
73,M&S Energy,0,TRUE,2,3.4,3,18.6,4,97.7,3,01:51,67.8,N/A,3,90,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 08081 697 822,
Email: hello@mandsenergy.com,
Website: www.mandsenergy.com,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 4pm,
Friday: 9am - 5pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
100,Outfox The Market,0,TRUE,3,3.25,2,37.4,5,99.1,2.2,08:29,93.8,N/A,5,100,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0800 103 2702,
Email: kapow@outfoxthemarket.co.uk,
Website: www.outfoxthemarket.co.uk,
Web Chat: Yes,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday: 8.30am - 5pm,
Tuesday: 8.30am - 5pm,
Wednesday: 8.30am - 5pm,
Thursday: 8.30am - 5pm,
Friday: 8.30am - 5pm,
Saturday: 9am - 2pm 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
44,So Energy,0,TRUE,4,3.1,1,119.4,5,98.6,3,02:56,68.4,N/A,5,100,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0330 111 5050,
Email: help@so.energy,
Website: www.so.energy,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
36,Octopus Energy,0,TRUE,5,3.05,3,18.6,4,97.4,1.6,03:40,23.2,N/A,3,94.1,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0808 164 1088,
Email: hello@octopus.energy,
Website: octopus.energy,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 4pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
1,Affect Energy,0,TRUE,6,3.05,3,18.6,4,96,2,03:26,50.4,N/A,2,88.8,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0330 60 62 675,
Email: help@affectenergy.com,
Website: www.affectenergy.com,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 4pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
9,Co-Operative Energy,0,TRUE,7,3.05,3,18.6,3,94.9,2,03:27,42.4,N/A,4,96.5,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0808 164 1088,
Email: coop@octopus.energy,
Website: octopus.energy/co-op,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 4pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
43,ScottishPower,0,TRUE,8,2.95,1,83.1,5,98.6,3.2,03:50,95.2,N/A,5,100,3,Vulnerability Commitment,"Telephone: 0800 027 0072,
Email: contactus@scottishpower.com,
Website:  www.scottishpower.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: 0800 027 0072,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 48%,
Nuclear: 4%,
Renewable: 43%,
Other: 5%,"
51,Utility Warehouse,0,TRUE,9,2.9,3,27.6,4,96.2,1.4,15:55,56.3,N/A,4,97.5,3,Vulnerability Commitment,"Telephone: 0333 7770 777,
Email: memberservices@utilitywarehouse.co.uk,
Website: www.utilitywarehouse.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: 0333 003 5643,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5.30pm,
Tuesday: 9am - 5.30pm,
Wednesday: 9am - 5.30pm,
Thursday: 9am - 5.30pm,
Friday: 9am - 5.30pm,
Saturday: 9am - 4.30pm, 
Sunday: Closed,","Fossil fuel: 90%,
Nuclear: 1%,
Renewable: 7%,
Other: 0%,"
21,Shell Energy,0,TRUE,10,2.9,2,46.8,4,95.2,2.4,03:19,71.4,N/A,5,98.8,3,"Switch Guarantee,","Telephone: 0330 094 5800,
Email: customer.service@shellenergy.co.uk,
Website: www.shellenergy.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 9am - 4pm, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
